"filename", "language", "Markdown", "JSON", "Java Properties", "Groovy", "JSON with Comments", "Java", "Batch", "comment", "blank", "total"
"c:\MechaRams\2026Prototyping\QuestVibeGPT\.wpilib\wpilib_preferences.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\MechaRams\2026Prototyping\QuestVibeGPT\WPILib-License.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\MechaRams\2026Prototyping\QuestVibeGPT\build.gradle", "Groovy", 0, 0, 0, 64, 0, 0, 0, 20, 21, 105
"c:\MechaRams\2026Prototyping\QuestVibeGPT\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\MechaRams\2026Prototyping\QuestVibeGPT\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 41, 32, 22, 95
"c:\MechaRams\2026Prototyping\QuestVibeGPT\settings.gradle", "Groovy", 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"c:\MechaRams\2026Prototyping\QuestVibeGPT\simgui-ds.json", "JSON", 0, 105, 0, 0, 0, 0, 0, 0, 1, 106
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\deploy\pathplanner\navgrid.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\deploy\pathplanner\settings.json", "JSON with Comments", 0, 0, 0, 0, 32, 0, 0, 0, 0, 32
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\Constants.java", "Java", 0, 0, 0, 0, 0, 162, 0, 21, 35, 218
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\Controller.java", "Java", 0, 0, 0, 0, 0, 137, 0, 26, 26, 189
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\Main.java", "Java", 0, 0, 0, 0, 0, 8, 0, 3, 5, 16
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\OdometryUpdates\LLAprilTagConstants.java", "Java", 0, 0, 0, 0, 0, 41, 0, 4, 10, 55
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\OdometryUpdates\LLAprilTagSubsystem.java", "Java", 0, 0, 0, 0, 0, 105, 0, 11, 32, 148
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\OdometryUpdates\OdometryUpdatesSubsystem.java", "Java", 0, 0, 0, 0, 0, 107, 0, 17, 36, 160
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\OdometryUpdates\QuestNavConstants.java", "Java", 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\OdometryUpdates\QuestNavSubsystem.java", "Java", 0, 0, 0, 0, 0, 223, 0, 101, 51, 375
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\Robot.java", "Java", 0, 0, 0, 0, 0, 61, 0, 6, 23, 90
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\RobotContainer.java", "Java", 0, 0, 0, 0, 0, 139, 0, 58, 48, 245
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\Telemetry.java", "Java", 0, 0, 0, 0, 0, 95, 0, 17, 16, 128
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\commands\Autos.java", "Java", 0, 0, 0, 0, 0, 12, 0, 4, 5, 21
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\commands\DriveInterrupt.java", "Java", 0, 0, 0, 0, 0, 12, 0, 8, 5, 25
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\commands\DriveManuallyCommand.java", "Java", 0, 0, 0, 0, 0, 54, 0, 26, 18, 98
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\commands\ExampleCommand.java", "Java", 0, 0, 0, 0, 0, 21, 0, 14, 9, 44
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\commands\OneMeterForwardPPCommand.java", "Java", 0, 0, 0, 0, 0, 14, 0, 10, 4, 28
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\commands\OneMeterForwardTurnPPCommand.java", "Java", 0, 0, 0, 0, 0, 13, 0, 9, 5, 27
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\commands\QuestNavTrajectoryTest.java", "Java", 0, 0, 0, 0, 0, 10, 0, 9, 4, 23
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\commands\QuestOffsetCharacterization.java", "Java", 0, 0, 0, 0, 0, 43, 0, 10, 11, 64
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\commands\ReturnTestPPCommand.java", "Java", 0, 0, 0, 0, 0, 12, 0, 9, 4, 25
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\commands\StopRobot.java", "Java", 0, 0, 0, 0, 0, 12, 0, 8, 5, 25
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\commands\ThreeMeterForwardPPCommand.java", "Java", 0, 0, 0, 0, 0, 13, 0, 9, 4, 26
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\lib\LimelightHelpers.java", "Java", 0, 0, 0, 0, 0, 1018, 0, 387, 263, 1668
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\lib\QuestHelpers.java", "Java", 0, 0, 0, 0, 0, 97, 0, 19, 17, 133
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\lib\TrajectoryHelper.java", "Java", 0, 0, 0, 0, 0, 11, 0, 10, 5, 26
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\lib\VisionHelpers.java", "Java", 0, 0, 0, 0, 0, 232, 0, 60, 47, 339
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\subsystems\DriveSubsystem.java", "Java", 0, 0, 0, 0, 0, 333, 0, 199, 67, 599
"c:\MechaRams\2026Prototyping\QuestVibeGPT\src\main\java\frc\robot\subsystems\ExampleSubsystem.java", "Java", 0, 0, 0, 0, 0, 20, 0, 20, 8, 48
"c:\MechaRams\2026Prototyping\QuestVibeGPT\vendordeps\PathplannerLib-2025.2.7.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 38
"c:\MechaRams\2026Prototyping\QuestVibeGPT\vendordeps\Phoenix6-frc2025-latest.json", "JSON", 0, 479, 0, 0, 0, 0, 0, 0, 0, 479
"c:\MechaRams\2026Prototyping\QuestVibeGPT\vendordeps\WPILibNewCommands.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"c:\MechaRams\2026Prototyping\QuestVibeGPT\vendordeps\questnavlib.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"Total", "-", 22, 688, 7, 92, 32, 3025, 41, 1127, 821, 5855